alerts,control_type,counter_bits,delay_ms,export_drop_prob,export_latency_ms,expressible,false_positive_rate,fault_type,interference_delay_ms,key_mode,keys_tracked,loss_prob,n_chunks,n_jobs,n_rounds,n_workers,observed_rounds,packets,per_packet_ops,precision,query,reason,recall,register_bytes,scaling_model,seed,sketch_width,state_entries,system,time_to_detection_ms,timeout_ms,window_size,workload
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,8,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,9,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,9,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,9,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,10,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,10,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,10,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,11,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,11,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.1,10240,fixed sketch registers; logical keys jobs*rounds*workers,11,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,12,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,12,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,12,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,13,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,13,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.184,10240,fixed sketch registers; logical keys jobs*rounds*workers,13,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,14,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,14,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,14,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,15,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,15,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,15,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,16,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,16,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,16,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,17,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,17,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,17,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,18,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,18,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.14,10240,fixed sketch registers; logical keys jobs*rounds*workers,18,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,19,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.001,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,19,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.001,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,19,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,0,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,0,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,0,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,1,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,1,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,1,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,2,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,2,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,2,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,3,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,3,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,3,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,4,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,4,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.2,10240,fixed sketch registers; logical keys jobs*rounds*workers,4,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,5,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,5,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,5,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,6,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,6,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,6,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,7,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,7,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,7,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,8,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,8,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,8,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,9,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,9,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,9,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,10,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,10,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,10,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,11,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,11,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.1,10240,fixed sketch registers; logical keys jobs*rounds*workers,11,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,12,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,12,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,12,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,13,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,13,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.18,10240,fixed sketch registers; logical keys jobs*rounds*workers,13,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,14,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,14,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,14,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,15,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,15,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,15,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,16,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,16,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,16,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,17,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,17,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,17,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,18,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,18,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.16,10240,fixed sketch registers; logical keys jobs*rounds*workers,18,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,19,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.01,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,19,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.01,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,19,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,0,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,0,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,0,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,1,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,1,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,1,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,2,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,2,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,2,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,3,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,3,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,3,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,4,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,4,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.2,10240,fixed sketch registers; logical keys jobs*rounds*workers,4,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,5,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,5,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,5,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,6,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,6,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,6,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,7,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,7,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,7,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,8,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,8,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,8,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,9,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,9,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.06,10240,fixed sketch registers; logical keys jobs*rounds*workers,9,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,10,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,10,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,10,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,11,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,11,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.1,10240,fixed sketch registers; logical keys jobs*rounds*workers,11,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,12,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,12,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,12,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,13,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,13,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.18,10240,fixed sketch registers; logical keys jobs*rounds*workers,13,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,14,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,14,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.02,10240,fixed sketch registers; logical keys jobs*rounds*workers,14,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,15,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,15,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,15,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,16,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,16,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,0.0,Q2,,0.0,10240,fixed sketch registers; logical keys jobs*rounds*workers,16,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,17,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,17,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,17,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,18,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,18,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.16,10240,fixed sketch registers; logical keys jobs*rounds*workers,18,,2560,univmon,,,,packet_loss
,,51200,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,6400,rounds*workers,19,,1600,sonata,,,,packet_loss
,,1056,,,,True,,,,,33,0.05,25600,1,50,32,,40960000,1,1.0,Q2,,1.0,132,active-round worker counters + round metadata,19,,33,inc_aware,,,,packet_loss
,,81920,,,,True,,,,,1600,0.05,25600,1,50,32,,40960000,5,1.0,Q2,,0.04,10240,fixed sketch registers; logical keys jobs*rounds*workers,19,,2560,univmon,,,,packet_loss
50,,81920,,,,True,,,,worker,8,0.01,25600,1,50,8,,10240000,5,0.2,Q2,,1.0,10240,workers,0,,2560,univmon,,,,univmon_key_sensitivity
50,,81920,,,,True,,,,job_worker,8,0.01,25600,1,50,8,,10240000,5,0.2,Q2,,1.0,10240,jobs*workers,0,,2560,univmon,,,,univmon_key_sensitivity
7,,81920,,,,True,,,,job_round_worker,400,0.01,25600,1,50,8,,10240000,5,0.571,Q2,,0.4,10240,jobs*rounds*workers,0,,2560,univmon,,,,univmon_key_sensitivity
10,,81920,,,,True,,,,job_round_worker_chunk,10240000,0.01,25600,1,50,8,,10240000,5,1.0,Q2,Requires chunk-level keys and expected-universe enumeration to reconstruct per-worker round counts.,1.0,10240,jobs*rounds*workers*chunks,0,,2560,univmon,,,,univmon_key_sensitivity
50,,81920,,,,True,,,,worker,8,0.01,25600,1,50,8,,10240000,5,0.2,Q2,,1.0,10240,workers,1,,2560,univmon,,,,univmon_key_sensitivity
